layer,group,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,fr_group,cs_fr_vs_french,0.754358615002667,0.06504445617830824,0.9458092137261316,0.0340041863641231,999
0,fr_group,cs_fr_vs_english,0.547768322344228,0.044577620260997645,0.7816519651327047,0.06099621217237484,999
0,fr_group,french_vs_english,0.4939620722370693,0.030417691023430907,0.6989874917047995,0.052825802815427786,999
0,hi_group,cs_hi_vs_hindi,0.9119020014069414,0.04046431348910056,0.9908177626502884,0.01326815110473096,999
0,hi_group,cs_hi_vs_english,0.40380372549408006,0.015001704869518184,0.41934685400119415,0.050226783791470324,999
0,hi_group,hindi_vs_english,0.39558669947424113,0.012569221921585483,0.38966077654151704,0.04345053243344568,999
0,cross_cs,cs_fr_vs_cs_hi,0.4472212559426533,0.014203507012432542,0.5624596955957594,0.04077096972748708,999
1,fr_group,cs_fr_vs_french,0.7715761252038039,0.05447282432156451,0.9726437976410439,0.01427225979755413,999
1,fr_group,cs_fr_vs_english,0.5978420349896961,0.04140262214330228,0.9224388526008652,0.025129401375304564,999
1,fr_group,french_vs_english,0.5632380564797135,0.036313968275281876,0.8934929554049555,0.02636598132503019,999
1,hi_group,cs_hi_vs_hindi,0.8772042537040318,0.04719384903506081,0.9915244726686029,0.007985631041367236,999
1,hi_group,cs_hi_vs_english,0.4738169515584789,0.02174335809841338,0.8220688374312194,0.024212808996349783,999
1,hi_group,hindi_vs_english,0.46283670628830287,0.0187856088538908,0.8043883985227293,0.018794364795640034,999
1,cross_cs,cs_fr_vs_cs_hi,0.4993681799518794,0.022196198712043348,0.8372880231749427,0.02197132292932015,999
2,fr_group,cs_fr_vs_french,0.7362685183115724,0.06607622614127234,0.9371055748846915,0.04120779092205195,999
2,fr_group,cs_fr_vs_english,0.5703333086810369,0.04605432800009768,0.8222595502485384,0.0658670006281467,999
2,fr_group,french_vs_english,0.5422136208878146,0.04245513084815857,0.7823825738093516,0.06640705473205254,999
2,hi_group,cs_hi_vs_hindi,0.85232166197625,0.05174510477886243,0.9765051935050819,0.02483125285792701,999
2,hi_group,cs_hi_vs_english,0.4195078323539788,0.01798937285689064,0.4000232790683483,0.06838729102709792,999
2,hi_group,hindi_vs_english,0.4115268740571283,0.016886481154927264,0.36349523391153243,0.05519515126684771,999
2,cross_cs,cs_fr_vs_cs_hi,0.4352313308592502,0.018756401613782073,0.510310785928825,0.061981314620465446,999
3,fr_group,cs_fr_vs_french,0.836238773315929,0.05588730447958779,0.9998709045730911,0.0001661464376336406,999
3,fr_group,cs_fr_vs_english,0.6384427320257108,0.054374818232981716,0.9993785277859226,0.0002951747428191965,999
3,fr_group,french_vs_english,0.620741056081797,0.05041549100713477,0.9992682303752269,0.0003268593324749849,999
3,hi_group,cs_hi_vs_hindi,0.8526175501591154,0.048595656405756214,0.9994012428833557,0.0005461292596465494,999
3,hi_group,cs_hi_vs_english,0.44132252782622405,0.03002466758765094,0.9937987768494928,0.0032006553355678423,999
3,hi_group,hindi_vs_english,0.42630996623469597,0.026817739370181323,0.9925097374467401,0.003216593912878004,999
3,cross_cs,cs_fr_vs_cs_hi,0.45482193271991317,0.023808482506521855,0.9941168727578821,0.002954311877150502,999
4,fr_group,cs_fr_vs_french,0.7717226280373941,0.05074859546143547,0.993029183692283,0.005422482994975738,999
4,fr_group,cs_fr_vs_english,0.6677713190455667,0.051375013179725565,0.9855480836676406,0.010729386509270899,999
