key,condition,matrix_ratio
fr_eng_s_e_s_n:1_cs_fr,cs_fr,0.5178571428571429
fr_eng_s_e_s_n:1_cs_hi,cs_hi,0.8947368421052632
fr_eng_s_e_s_n:2_cs_fr,cs_fr,0.5283018867924528
fr_eng_s_e_s_n:2_cs_hi,cs_hi,0.5689655172413793
fr_eng_s_e_s_n:3_cs_fr,cs_fr,0.631578947368421
fr_eng_s_e_s_n:3_cs_hi,cs_hi,0.8571428571428571
fr_eng_s_e_s_n:4_cs_fr,cs_fr,0.6285714285714286
fr_eng_s_e_s_n:4_cs_hi,cs_hi,0.8
fr_eng_s_e_s_n:5_cs_fr,cs_fr,0.6448598130841121
fr_eng_s_e_s_n:5_cs_hi,cs_hi,0.5294117647058824
fr_eng_s_e_s_n:6_cs_fr,cs_fr,0.5806451612903226
fr_eng_s_e_s_n:6_cs_hi,cs_hi,0.6666666666666666
fr_eng_s_e_s_n:7_cs_fr,cs_fr,0.7361111111111112
fr_eng_s_e_s_n:7_cs_hi,cs_hi,0.8172043010752689
fr_eng_s_e_s_n:8_cs_fr,cs_fr,0.7419354838709677
fr_eng_s_e_s_n:8_cs_hi,cs_hi,0.6666666666666666
fr_eng_s_e_s_n:9_cs_fr,cs_fr,0.5714285714285714
fr_eng_s_e_s_n:9_cs_hi,cs_hi,0.9230769230769231
fr_eng_s_e_s_n:10_cs_fr,cs_fr,0.5789473684210527
fr_eng_s_e_s_n:10_cs_hi,cs_hi,0.9183673469387755
fr_eng_s_e_s_n:11_cs_fr,cs_fr,0.4772727272727273
fr_eng_s_e_s_n:11_cs_hi,cs_hi,0.78125
fr_eng_s_e_s_n:12_cs_fr,cs_fr,0.647887323943662
fr_eng_s_e_s_n:12_cs_hi,cs_hi,0.6575342465753424
fr_eng_s_e_s_n:13_cs_fr,cs_fr,0.5802469135802469
fr_eng_s_e_s_n:13_cs_hi,cs_hi,0.9478260869565217
fr_eng_s_e_s_n:14_cs_fr,cs_fr,0.75
fr_eng_s_e_s_n:14_cs_hi,cs_hi,0.926829268292683
fr_eng_s_e_s_n:15_cs_fr,cs_fr,0.647887323943662
fr_eng_s_e_s_n:15_cs_hi,cs_hi,0.8317757009345794
fr_eng_s_e_s_n:16_cs_fr,cs_fr,0.7226890756302521
fr_eng_s_e_s_n:16_cs_hi,cs_hi,0.8920454545454546
fr_eng_s_e_s_n:17_cs_fr,cs_fr,0.6538461538461539
fr_eng_s_e_s_n:17_cs_hi,cs_hi,0.925
fr_eng_s_e_s_n:18_cs_fr,cs_fr,0.594059405940594
fr_eng_s_e_s_n:18_cs_hi,cs_hi,0.7241379310344828
fr_eng_s_e_s_n:19_cs_fr,cs_fr,0.4358974358974359
fr_eng_s_e_s_n:19_cs_hi,cs_hi,0.875
fr_eng_s_e_s_n:20_cs_fr,cs_fr,0.5714285714285714
fr_eng_s_e_s_n:20_cs_hi,cs_hi,0.926829268292683
fr_eng_s_e_s_n:21_cs_fr,cs_fr,0.6483516483516484
fr_eng_s_e_s_n:21_cs_hi,cs_hi,0.8721804511278195
fr_eng_s_e_s_n:22_cs_fr,cs_fr,0.48
fr_eng_s_e_s_n:22_cs_hi,cs_hi,0.5
fr_eng_s_e_s_n:23_cs_fr,cs_fr,0.4782608695652174
fr_eng_s_e_s_n:23_cs_hi,cs_hi,0.9523809523809523
fr_eng_s_e_s_n:24_cs_fr,cs_fr,0.6721311475409836
fr_eng_s_e_s_n:24_cs_hi,cs_hi,0.9135802469135802
fr_eng_s_e_s_n:25_cs_fr,cs_fr,0.6014492753623188
fr_eng_s_e_s_n:25_cs_hi,cs_hi,0.8963414634146342
fr_eng_s_e_s_n:26_cs_fr,cs_fr,0.7755102040816326
fr_eng_s_e_s_n:26_cs_hi,cs_hi,0.8253968253968254
fr_eng_s_e_s_n:27_cs_fr,cs_fr,0.6521739130434783
fr_eng_s_e_s_n:27_cs_hi,cs_hi,0.8222222222222222
fr_eng_s_e_s_n:28_cs_fr,cs_fr,0.6666666666666666
fr_eng_s_e_s_n:28_cs_hi,cs_hi,0.9574468085106383
fr_eng_s_e_s_n:29_cs_fr,cs_fr,0.6777777777777778
fr_eng_s_e_s_n:29_cs_hi,cs_hi,0.9295774647887324
fr_eng_s_e_s_n:30_cs_fr,cs_fr,0.46
fr_eng_s_e_s_n:30_cs_hi,cs_hi,0.84375
fr_eng_s_e_s_n:31_cs_fr,cs_fr,0.5208333333333334
fr_eng_s_e_s_n:31_cs_hi,cs_hi,0.49166666666666664
fr_eng_s_e_s_n:32_cs_fr,cs_fr,0.5934065934065934
fr_eng_s_e_s_n:32_cs_hi,cs_hi,0.746268656716418
fr_eng_s_e_s_n:33_cs_fr,cs_fr,0.7560975609756098
fr_eng_s_e_s_n:33_cs_hi,cs_hi,0.8852459016393442
fr_eng_s_e_s_n:34_cs_fr,cs_fr,0.5591397849462365
fr_eng_s_e_s_n:34_cs_hi,cs_hi,0.8636363636363636
fr_eng_s_e_s_n:35_cs_fr,cs_fr,0.65625
fr_eng_s_e_s_n:35_cs_hi,cs_hi,0.9615384615384616
fr_eng_s_e_s_n:36_cs_fr,cs_fr,0.6627906976744186
fr_eng_s_e_s_n:36_cs_hi,cs_hi,0.7403846153846154
fr_eng_s_e_s_n:37_cs_fr,cs_fr,0.8366013071895425
fr_eng_s_e_s_n:37_cs_hi,cs_hi,0.7094972067039106
fr_eng_s_e_s_n:38_cs_fr,cs_fr,0.5913978494623656
fr_eng_s_e_s_n:38_cs_hi,cs_hi,0.9821428571428571
fr_eng_s_e_s_n:39_cs_fr,cs_fr,0.8205128205128205
fr_eng_s_e_s_n:39_cs_hi,cs_hi,0.912621359223301
fr_eng_s_e_s_n:40_cs_fr,cs_fr,0.5217391304347826
fr_eng_s_e_s_n:40_cs_hi,cs_hi,0.8608695652173913
fr_eng_s_e_s_n:41_cs_fr,cs_fr,0.3888888888888889
fr_eng_s_e_s_n:41_cs_hi,cs_hi,0.6363636363636364
