layer,group,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,fr_group,cs_fr_vs_french,0.7157761702059663,0.07171897456519219,0.9614074333413346,0.022535199154447242,999
0,fr_group,cs_fr_vs_english,0.530256546780015,0.050559433147277774,0.8568123089181291,0.047847486052466894,999
0,fr_group,french_vs_english,0.4617300589394657,0.02932523940318473,0.7847462441470172,0.045489662468547666,999
0,hi_group,cs_hi_vs_hindi,0.8375324463364362,0.06795202982304328,0.9817253760508708,0.019883975247493614,999
0,hi_group,cs_hi_vs_english,0.4299082660490461,0.031074669320980002,0.7031113556674771,0.058494795632719636,999
0,hi_group,hindi_vs_english,0.4005543057687849,0.013709925016515093,0.6425523025853498,0.04701233738932506,999
0,cross_cs,cs_fr_vs_cs_hi,0.43621741828241745,0.02483875293109426,0.7656770249506136,0.04222105924725194,999
1,fr_group,cs_fr_vs_french,0.6930184543319522,0.07229352174001967,0.9066634867284391,0.059732563298202715,999
1,fr_group,cs_fr_vs_english,0.5096861112691154,0.04214684114257563,0.6793689774321364,0.07536545537433206,999
1,fr_group,french_vs_english,0.4540084246682542,0.029692582974689765,0.5875355222740689,0.07375498730161677,999
1,hi_group,cs_hi_vs_hindi,0.7788318060626119,0.07202649954676436,0.9576898761339732,0.0362075152305988,999
1,hi_group,cs_hi_vs_english,0.4165833679193571,0.025588859158154297,0.5292391217387356,0.06497291089980815,999
1,hi_group,hindi_vs_english,0.38826155740380147,0.011871168842135632,0.4753530884648229,0.05544135543076301,999
1,cross_cs,cs_fr_vs_cs_hi,0.42317524368329623,0.020673912349519864,0.6286573552035235,0.06286728420701897,999
2,fr_group,cs_fr_vs_french,0.7542186791031579,0.057867752831566005,0.9240124860444704,0.04335083691763337,999
2,fr_group,cs_fr_vs_english,0.5921737681491885,0.04194351997969327,0.7404882767059662,0.0657639114495265,999
2,fr_group,french_vs_english,0.5489780208048876,0.03403464534411369,0.6782272870953496,0.06186462580185409,999
2,hi_group,cs_hi_vs_hindi,0.8287282393872211,0.06052859562002598,0.9620772572728368,0.030750164412965665,999
2,hi_group,cs_hi_vs_english,0.5165347318658629,0.031646872659446434,0.6128334662428608,0.0626034554361019,999
2,hi_group,hindi_vs_english,0.4953904441317886,0.027788413924534246,0.5760111571909549,0.059169880924717054,999
2,cross_cs,cs_fr_vs_cs_hi,0.5435347769969181,0.03275335427612329,0.6438175168361988,0.06274664740039033,999
3,fr_group,cs_fr_vs_french,0.7416039493406617,0.057440043146941004,0.924808732561163,0.04306232741806542,999
3,fr_group,cs_fr_vs_english,0.5915525618549601,0.041650523667341496,0.7750072607824633,0.06335829104727501,999
3,fr_group,french_vs_english,0.5551542287995811,0.035705141780881466,0.7288809134079529,0.06505517265331656,999
3,hi_group,cs_hi_vs_hindi,0.8143943417389392,0.061411410417423255,0.9602429722999787,0.03140558992457796,999
3,hi_group,cs_hi_vs_english,0.49912750457991356,0.03004682616214105,0.635373992933048,0.06442024028316573,999
3,hi_group,hindi_vs_english,0.47847270656411484,0.023752781034660397,0.5990265716124583,0.05931799774425551,999
3,cross_cs,cs_fr_vs_cs_hi,0.5280818030006077,0.030784303897068276,0.685786545515299,0.06166169458661355,999
4,fr_group,cs_fr_vs_french,0.722790372823218,0.05517903821990314,0.9155284218840651,0.03979581382984249,999
4,fr_group,cs_fr_vs_english,0.5736336188101413,0.03810685177231982,0.7589871460372383,0.05142248385282103,999
4,fr_group,french_vs_english,0.5422216878773866,0.0331730240032941,0.71659163144735,0.05363577137676296,999
4,hi_group,cs_hi_vs_hindi,0.7858086897817191,0.06466479273776324,0.9544615175153639,0.032651729890810055,999
4,hi_group,cs_hi_vs_english,0.47630147662091227,0.026011485608741745,0.604299730993248,0.04789033738515093,999
4,hi_group,hindi_vs_english,0.4558928443536993,0.019713652901018855,0.5691352985404037,0.04458008237857352,999
4,cross_cs,cs_fr_vs_cs_hi,0.5121137614360424,0.029442478128944308,0.6938443760554474,0.04706487689013461,999
5,fr_group,cs_fr_vs_french,0.7271533788308407,0.05055527505632314,0.9258595991421033,0.034969759872282354,999
5,fr_group,cs_fr_vs_english,0.5921545039555831,0.04160430993806349,0.8031637670399548,0.05654222993137059,999
5,fr_group,french_vs_english,0.5745490132410341,0.0355648444897372,0.7849680131620115,0.05780805175644954,999
5,hi_group,cs_hi_vs_hindi,0.7951741942022511,0.06195539563097737,0.9621241839082392,0.02923262683548022,999
5,hi_group,cs_hi_vs_english,0.48201010251164544,0.028257212225558017,0.6619446343845792,0.06499650460984685,999
